flight_id,frame_id,feature_ts_ns,mono_ns,mapped_tick,tick_mismatch_ns,t_rel_setpoint_grid_s,e_meas_m,range_z_m,v_full_raw_mps,full_history_n,full_history_span_s,input_validity,level_pitch_rad,level_roll_rad,event_id,row_key,exclusion_reason
20260719T201851-50f9dcc8,354,1784492340678674300,169010787854100,410,9154500,8.2,-0.45,-1.5607430934911513,,1,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094,A091_DOWNSTEP_05,20260719T201851-50f9dcc8|frame=354|feature_ts_ns=1784492340678674300,ABSENT_RESPONSE
20260719T201851-50f9dcc8,355,1784492340707675400,169010817365200,412,1334400,8.24,-0.45,-1.688947256360587,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094,A091_DOWNSTEP_05,20260719T201851-50f9dcc8|frame=355|feature_ts_ns=1784492340707675400,ABSENT_RESPONSE
20260719T201851-50f9dcc8,356,1784492340741326600,169010850788700,414,7910900,8.28,-0.45,-1.7649587961904083,,3,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094,A091_DOWNSTEP_05,20260719T201851-50f9dcc8|frame=356|feature_ts_ns=1784492340741326600,ABSENT_RESPONSE
20260719T201851-50f9dcc8,412,1784492342609110300,169012719164000,507,464400,10.14,-0.45,0.04924070336468818,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094,A091_DOWNSTEP_06,20260719T201851-50f9dcc8|frame=412|feature_ts_ns=1784492342609110300,ABSENT_RESPONSE
20260719T201851-50f9dcc8,414,1784492342679047200,169012789884900,511,8814700,10.22,-0.45,-0.17850629761368358,,3,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094,A091_DOWNSTEP_07,20260719T201851-50f9dcc8|frame=414|feature_ts_ns=1784492342679047200,ABSENT_RESPONSE
20260719T201851-50f9dcc8,538,1784492346809914800,169016920131000,717,1431400,14.34,-0.45,-1.5366512160606403,,1,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094,A091_DOWNSTEP_11,20260719T201851-50f9dcc8|frame=538|feature_ts_ns=1784492346809914800,ABSENT_RESPONSE
20260719T201851-50f9dcc8,539,1784492346844471800,169016953516200,719,5183400,14.38,-0.45,-1.5779542757395615,,2,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094,A091_DOWNSTEP_11,20260719T201851-50f9dcc8|frame=539|feature_ts_ns=1784492346844471800,ABSENT_RESPONSE
20260719T201851-50f9dcc8,540,1784492346879228100,169016987750700,720,9051100,14.4,-0.45,-1.6405773580252052,,3,0.0,ABSENT_RESPONSE,-0.3106987661062333,0.00025650874109527094,A091_DOWNSTEP_11,20260719T201851-50f9dcc8|frame=540|feature_ts_ns=1784492346879228100,ABSENT_RESPONSE
