L_ticks,tau_s,g,n_rows,sse,mse,rms_mps
0,0.02,0.5,13,0.25478335029669774,0.019598719253592134,0.1399954258309611
0,0.02,0.55,13,0.30828785385900426,0.023714450296846483,0.15399496841405722
0,0.02,0.6000000000000001,13,0.3668880244272449,0.028222155725172685,0.16799451099715337
0,0.02,0.65,13,0.43058386200141924,0.03312183553857071,0.18199405358024945
0,0.02,0.7000000000000001,13,0.49937536658152765,0.03841348973704059,0.19599359616334558
0,0.02,0.75,13,0.57326253816757,0.04409711832058231,0.20999313874644168
0,0.02,0.8,13,0.6522453767595462,0.05017272128919586,0.22399268132953776
0,0.02,0.8500000000000001,13,0.7363238823574567,0.05664029864288129,0.23799222391263394
0,0.02,0.9,13,0.8254980549613007,0.06349985038163851,0.25199176649573
0,0.02,0.9500000000000001,13,0.9197678945710789,0.0707513765054676,0.2659913090788261
0,0.02,1.0,13,1.019133401186791,0.07839487701436854,0.2799908516619222
0,0.02,1.05,13,1.123594574808437,0.08643035190834131,0.2939903942450183
0,0.02,1.1,13,1.233151415436017,0.09485780118738593,0.30798993682811443
0,0.02,1.1500000000000001,13,1.3478039230695313,0.10367722485150241,0.3219894794112106
0,0.02,1.2000000000000002,13,1.4675520977089795,0.11288862290069074,0.33598902199430675
0,0.02,1.25,13,1.5923959393543607,0.12249199533495082,0.34998856457740274
0,0.02,1.3,13,1.722335448005677,0.13248734215428284,0.3639881071604989
0,0.02,1.35,13,1.8573706236629266,0.14287466335868665,0.377987649743595
0,0.02,1.4000000000000001,13,1.9975014663261106,0.15365395894816236,0.39198719232669116
0,0.02,1.4500000000000002,13,2.1427279759952285,0.16482522892270987,0.40598673490978726
0,0.02,1.5,13,2.29305015267028,0.17638847328232923,0.41998627749288336
0,0.04,0.5,13,0.1315967271620507,0.010122825166311593,0.10061225157162319
0,0.04,0.55,13,0.1592320398660813,0.012248618451237024,0.1106734767287855
0,0.04,0.6000000000000001,13,0.18949928711335304,0.014576868239488696,0.12073470188594784
0,0.04,0.65,13,0.2223984689038657,0.01710757453106659,0.13079592704311013
0,0.04,0.7000000000000001,13,0.2579295852376194,0.019840737325970723,0.14085715220027248
0,0.04,0.75,13,0.29609263611461406,0.02277635662420108,0.15091837735743477
0,0.04,0.8,13,0.33688762153484975,0.025914432425757673,0.1609796025145971
0,0.04,0.8500000000000001,13,0.38031454149832666,0.02925496473064051,0.17104082767175943
0,0.04,0.9,13,0.42637339600504437,0.03279795353884957,0.18110205282892175
0,0.04,0.9500000000000001,13,0.4750641850550031,0.03654339885038485,0.19116327798608407
0,0.04,1.0,13,0.5263869086482028,0.04049130066524637,0.20122450314324639
0,0.04,1.05,13,0.5803415667846437,0.044641658983434127,0.2112857283004087
0,0.04,1.1,13,0.6369281594643252,0.0489944738049481,0.221346953457571
0,0.04,1.1500000000000001,13,0.6961466866872483,0.053549745129788336,0.23140817861473337
0,0.04,1.2000000000000002,13,0.7579971484534122,0.058307472957954784,0.24146940377189569
0,0.04,1.25,13,0.8224795447628167,0.06326765728944744,0.251530628929058
0,0.04,1.3,13,0.8895938756154628,0.06843029812426636,0.26159185408622027
0,0.04,1.35,13,0.9593401410113496,0.07379539546241151,0.2716530792433826
0,0.04,1.4000000000000001,13,1.0317183409504775,0.0793629493038829,0.28171430440054496
0,0.04,1.4500000000000002,13,1.1067284754328464,0.08513295964868049,0.29177552955770725
0,0.04,1.5,13,1.1843705444584562,0.09110542649680432,0.30183675471486954
0,0.06,0.5,13,0.07897169691958236,0.006074745916890951,0.07794065637965177
0,0.06,0.55,13,0.0955557532726947,0.007350442559438054,0.08573472201761695
0,0.06,0.6000000000000001,13,0.11371924356419869,0.008747634120322976,0.09352878765558215
0,0.06,0.65,13,0.13346216779409423,0.01026632059954571,0.1013228532935473
0,0.06,0.7000000000000001,13,0.15478452596238151,0.01190650199710627,0.1091169189315125
0,0.06,0.75,13,0.17768631806906043,0.01366817831300465,0.11691098456947768
0,0.06,0.8,13,0.20216754411413093,0.01555134954724084,0.12470505020744284
0,0.06,0.8500000000000001,13,0.2282282040975932,0.01755601569981486,0.13249911584540805
0,0.06,0.9,13,0.255868298019447,0.019682176770726693,0.14029318148337322
0,0.06,0.9500000000000001,13,0.28508782587969245,0.021929832759976342,0.1480872471213384
0,0.06,1.0,13,0.31588678767832945,0.024298983667563803,0.15588131275930353
0,0.06,1.05,13,0.3482651834153583,0.0267896294934891,0.16367537839726873
0,0.06,1.1,13,0.3822230130907788,0.029401770237752214,0.1714694440352339
0,0.06,1.1500000000000001,13,0.41776027670459104,0.03213540590035316,0.17926350967319912
0,0.06,1.2000000000000002,13,0.45487697425679474,0.034990536481291905,0.1870575753111643
0,0.06,1.25,13,0.49357310574739,0.03796716198056846,0.19485164094912943
0,0.06,1.3,13,0.5338486711763769,0.04106528239818284,0.2026457065870946
0,0.06,1.35,13,0.5757036705437557,0.044284897734135055,0.2104397722250598
0,0.06,1.4000000000000001,13,0.6191381038495261,0.04762600798842508,0.218233837863025
0,0.06,1.4500000000000002,13,0.6641519710936881,0.051088613161052926,0.22602790350099017
0,0.06,1.5,13,0.7107452722762417,0.0546727132520186,0.23382196913895537
0,0.08,0.5,13,0.051792207346639335,0.003984015949741487,0.06311906169883617
0,0.08,0.55,13,0.0626685708894336,0.0048206592991872,0.06943096786871979
0,0.08,0.6000000000000001,13,0.07458077857916066,0.005736982967627743,0.07574287403860341
0,0.08,0.65,13,0.08752883041582049,0.006732986955063114,0.08205478020848703
0,0.08,0.7000000000000001,13,0.10151272639941313,0.007808671261493317,0.08836668637837065
0,0.08,0.75,13,0.11653246652993848,0.008964035886918345,0.09467859254825425
0,0.08,0.8,13,0.1325880508073967,0.010199080831338208,0.10099049871813788
0,0.08,0.8500000000000001,13,0.14967947923178776,0.011513806094752905,0.10730240488802152
0,0.08,0.9,13,0.16780675180311144,0.01290821167716242,0.1136143110579051
0,0.08,0.9500000000000001,13,0.18696986852136804,0.014382297578566773,0.11992621722778875
0,0.08,1.0,13,0.20716882938655734,0.01593606379896595,0.12623812339767235
0,0.08,1.05,13,0.2284036343986795,0.01756951033835996,0.13255002956755596
0,0.08,1.1,13,0.2506742835577344,0.0192826371967488,0.13886193573743957
0,0.08,1.1500000000000001,13,0.2739807768637222,0.021075444374132477,0.14517384190732321
0,0.08,1.2000000000000002,13,0.29832311431664266,0.022947931870510974,0.15148574807720683
0,0.08,1.25,13,0.3237012959164959,0.0249000996858843,0.15779765424709044
0,0.08,1.3,13,0.35011532166328196,0.026931947820252457,0.16410956041697405
0,0.08,1.35,13,0.37756519155700075,0.02904347627361544,0.17042146658685767
0,0.08,1.4000000000000001,13,0.4060509055976525,0.03123468504597327,0.1767333727567413
0,0.08,1.4500000000000002,13,0.4355724637852369,0.03350557413732592,0.18304527892662492
0,0.08,1.5,13,0.46612986611975393,0.03585614354767338,0.1893571850965085
0,0.1,0.5,13,0.036357123383788444,0.0027967017987529574,0.05288385196591638
0,0.1,0.55,13,0.04399211929438401,0.003384009176491078,0.05817223716250801
0,0.1,0.6000000000000001,13,0.05235425767265537,0.004027250590204259,0.06346062235909966
0,0.1,0.65,13,0.06144353851860248,0.004726426039892499,0.0687490075556913
0,0.1,0.7000000000000001,13,0.07125996183222535,0.005481535525555797,0.07403739275228292
0,0.1,0.75,13,0.08180352761352401,0.006292579047194154,0.07932577794887456
0,0.1,0.8,13,0.09307423586249844,0.007159556604807572,0.08461416314546621
0,0.1,0.8500000000000001,13,0.10507208657914861,0.008082468198396047,0.08990254834205784
0,0.1,0.9,13,0.11779707976347459,0.009061313827959584,0.09519093353864949
0,0.1,0.9500000000000001,13,0.1312492154154763,0.010096093493498177,0.10047931873524112
0,0.1,1.0,13,0.14542849353515377,0.01118680719501183,0.10576770393183275
0,0.1,1.05,13,0.16033491412250703,0.012333454932500541,0.11105608912842438
0,0.1,1.1,13,0.17596847717753605,0.013536036705964313,0.11634447432501602
0,0.1,1.1500000000000001,13,0.1923291827002409,0.014794552515403146,0.12163285952160767
0,0.1,1.2000000000000002,13,0.20941703069062148,0.016109002360817037,0.12692124471819932
0,0.1,1.25,13,0.22723202114867777,0.017479386242205984,0.13220962991479093
0,0.1,1.3,13,0.24577415407440992,0.018905704159569995,0.1374980151113826
0,0.1,1.35,13,0.2650434294678178,0.02038795611290906,0.1427864003079742
0,0.1,1.4000000000000001,13,0.2850398473289014,0.021926142102223187,0.14807478550456585
0,0.1,1.4500000000000002,13,0.30576340765766086,0.023520262127512372,0.1533631707011575
0,0.1,1.5,13,0.32721411045409604,0.025170316188776617,0.15865155589774912
0,0.12,0.5,13,0.026852686742162242,0.002065591287858634,0.045448776527632004
0,0.12,0.55,13,0.03249175095801631,0.002499365458308947,0.049993654180395204
0,0.12,0.6000000000000001,13,0.03866786890871363,0.0029744514545164335,0.05453853183315841
0,0.12,0.65,13,0.04538104059425419,0.003490849276481092,0.05908340948592161
0,0.12,0.7000000000000001,13,0.05263126601463802,0.004048558924202925,0.06362828713868483
0,0.12,0.75,13,0.06041854516986504,0.0046475803976819266,0.06817316479144801
0,0.12,0.8,13,0.06874287805993533,0.005287913696918102,0.0727180424442112
0,0.12,0.8500000000000001,13,0.0776042646848489,0.0059695588219114545,0.07726292009697443
0,0.12,0.9,13,0.0870027050446057,0.0066925157726619765,0.08180779774973762
0,0.12,0.9500000000000001,13,0.0969381991392057,0.00745678454916967,0.08635267540250081
0,0.12,1.0,13,0.10741074696864897,0.008262365151434536,0.09089755305526401
0,0.12,1.05,13,0.11842034853293548,0.009109257579456576,0.09544243070802721
0,0.12,1.1,13,0.12996700383206525,0.009997461833235789,0.09998730836079041
0,0.12,1.1500000000000001,13,0.1420507128660383,0.010926977912772176,0.10453218601355363
0,0.12,1.2000000000000002,13,0.15467147563485453,0.011897805818065734,0.10907706366631682
0,0.12,1.25,13,0.167829292138514,0.012909945549116461,0.11362194131908002
0,0.12,1.3,13,0.18152416237701677,0.013963397105924367,0.11816681897184322
0,0.12,1.35,13,0.19575608635036276,0.015058160488489443,0.12271169662460642
0,0.12,1.4000000000000001,13,0.2105250640585521,0.0161942356968117,0.12725657427736967
0,0.12,1.4500000000000002,13,0.2258310955015845,0.017371622730891115,0.13180145193013282
0,0.12,1.5,13,0.24167418067946017,0.018590321590727706,0.13634632958289603
0,0.14,0.5,13,0.020615333769768568,0.001585794905366813,0.039822040447054105
0,0.14,0.55,13,0.02494455386141997,0.001918811835493844,0.043804244491759514
0,0.14,0.6000000000000001,13,0.029686080628466754,0.002283544663728212,0.04778644853646494
0,0.14,0.65,13,0.03483991407090888,0.002679993390069914,0.05176865258117034
0,0.14,0.7000000000000001,13,0.0404060541887464,0.0031081580145189535,0.05575085662587575
0,0.14,0.75,13,0.046384500981979285,0.0035680385370753295,0.05973306067058116
0,0.14,0.8,13,0.05277525445060753,0.004059634957739041,0.06371526471528656
0,0.14,0.8500000000000001,13,0.059578314594631185,0.004582947276510091,0.06769746875999198
0,0.14,0.9,13,0.06679368141405016,0.005137975493388474,0.07167967280469738
