series,label,config,run,flight_id,fixture,sample_kind,is_grinding_flight,mono_ns,collision_id,collision_kind,threat_level,impulse,planner_phase,v_body,v_body_x,v_body_y,v_body_z,gate_index_proxy,det_age_s,det_cert,range_z_m,tx_m,ty_cam_m,true_world_dz_m,center_x_px,center_y_px,hit_class,abort_reason,env_hits_total,gate_clips_total,gates_passed,duration_s
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,collision,False,338117449003000,1001,gate,2,3.50300931930542,retreat,"[-1.2, 0.0, -0.2]",-1.2,0.0,-0.2,0,0.2017205,none,0.656568487089383,-0.0074986210911842585,-0.2667859599079767,-0.08149472918324319,315.10084166332786,487.5123744845164,gate_BOTTOM_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,collision,False,338117746912700,1001,gate,1,0.010805908590555191,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0005151,probation,0.7633167160583172,0.04293094343225613,-0.4195158849181735,0.39823609387523384,339.6735812671662,324.22166366122633,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,collision,False,338117754048600,1001,gate,1,0.45253583788871765,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.007651,probation,0.7633167160583172,0.04293094343225613,-0.4195158849181735,0.39686227358033305,339.6735812671662,324.22166366122633,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,collision,False,338117764709200,1001,gate,1,0.18242356181144714,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0183116,probation,0.7633167160583172,0.04293094343225613,-0.4195158849181735,0.39686227358033305,339.6735812671662,324.22166366122633,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,collision,False,338117764738300,1001,gate,1,0.04860205203294754,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0183407,probation,0.7633167160583172,0.04293094343225613,-0.4195158849181735,0.39686227358033305,339.6735812671662,324.22166366122633,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,collision,False,338117767792800,1001,gate,1,0.12255854159593582,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0213952,probation,0.7633167160583172,0.04293094343225613,-0.4195158849181735,0.39686227358033305,339.6735812671662,324.22166366122633,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,collision,False,338117774807400,1001,gate,1,0.14481472969055176,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0284098,probation,0.7633167160583172,0.04293094343225613,-0.4195158849181735,0.39720567057635,339.6735812671662,324.22166366122633,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,collision,False,338117781795100,1001,gate,1,0.09197425842285156,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0021703,none,0.6634260446562944,0.02157222461263701,-0.27855283759078087,0.3942386343114288,333.66979173618773,469.8427859354623,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,collision,False,338117788762700,1001,gate,1,0.10131336003541946,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0091379,none,0.6634260446562944,0.02157222461263701,-0.27855283759078087,0.3942386343114288,333.66979173618773,469.8427859354623,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,collision,False,338117799677100,1001,gate,1,0.06854140758514404,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0200523,none,0.6634260446562944,0.02157222461263701,-0.27855283759078087,0.49947954253207877,333.66979173618773,469.8427859354623,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,collision,False,338117799778100,1001,gate,1,0.07961777597665787,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0201533,none,0.6634260446562944,0.02157222461263701,-0.27855283759078087,0.49947954253207877,333.66979173618773,469.8427859354623,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,abort_collision,False,338117799778100,1001,gate,1,0.07961777597665787,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0201533,none,0.6634260446562944,0.02157222461263701,-0.27855283759078087,0.49947954253207877,333.66979173618773,469.8427859354623,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run4,A,4,20260721T191829-7bc7968c,20260721T191847-raceprep-r1-A-run4,collision,False,338190427021300,1002,environment,2,4.991565227508545,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0462364,none,4.587371299614336,-0.6213949230248189,-0.14633573132759903,1.0632671093266717,276.6535249970589,169.7920985753282,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=5.0),1,0,0,8.923990600043908
r1,r1-A-run4,A,4,20260721T191829-7bc7968c,20260721T191847-raceprep-r1-A-run4,abort_collision,False,338190427021300,1002,environment,2,4.991565227508545,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0462364,none,4.587371299614336,-0.6213949230248189,-0.14633573132759903,1.0632671093266717,276.6535249970589,169.7920985753282,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=5.0),1,0,0,8.923990600043908
r1,r1-A-run5,A,5,20260721T191942-7bc7968c,20260721T192002-raceprep-r1-A-run5,collision,False,338265191089500,1002,environment,2,1.3023239374160767,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,,,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=1.3),1,0,0,10.94811200001277
