series,label,config,run,flight_id,fixture,sample_kind,is_grinding_flight,mono_ns,collision_id,collision_kind,threat_level,impulse,planner_phase,v_body,v_body_x,v_body_y,v_body_z,gate_index_proxy,det_age_s,det_cert,range_z_m,tx_m,ty_cam_m,true_world_dz_m,center_x_px,center_y_px,hit_class,abort_reason,env_hits_total,gate_clips_total,gates_passed,duration_s
r1-alt,r1-alt-A-run5,A,5,20260721T193836-35277268,20260721T193902-raceprep-r1-alt-A-run5,abort_collision,False,339404523794900,1002,environment,2,4.844047546386719,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,1,0.0302139,none,10.60212073306525,-4.791427929429444,3.2987899618569445,0.010778934110003163,175.38205270238115,279.5661919319633,env_MID_STRUCTURE_intergate,environment collision (impulse=4.8),32,0,1,15.747986700036563
r1-alt,r1-alt-B-run6,B,6,20260721T193956-0308865a,20260721T194024-raceprep-r1-alt-B-run6,abort_collision,False,339486798189200,1002,environment,2,3.9137213230133057,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,,,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=2.0),53,0,0,18.3719892000081
r1-alt,r1-alt-A-run7,A,7,20260721T194118-35277268,20260721T194140-raceprep-r1-alt-A-run7,abort_collision,False,339562832089700,1002,environment,2,1.4330722093582153,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0184518,none,1.7119464917255394,-0.25111652443185517,1.7652259418274059,1.8943958125811164,273.0608648070546,509.95908698957794,env_NEAR_gate_HIGH_likely_banner_or_top_environs,environment collision (impulse=1.4),2,0,0,12.12812860001577
r1-alt,r1-alt-B-run8,B,8,20260721T194234-0308865a,20260721T194254-raceprep-r1-alt-B-run8,abort_collision,False,339636741939200,1002,environment,2,1.4551098346710205,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,0.0213367,certified,6.501332531161974,2.8549255432820315,-1.7822065698054714,-1.3301967340615541,458.0,258.25,env_MID_STRUCTURE_intergate,environment collision (impulse=1.5),2,0,0,10.11599620000925
r1-alt,r1-alt-A-run9,A,9,20260721T194348-35277268,20260721T194415-raceprep-r1-alt-A-run9,abort_collision,False,339717662725000,1002,environment,2,6.4048686027526855,approach,"[2.9699193855384234, 0.604358334794223, -1.2101292916212871]",2.9699193855384234,0.604358334794223,-1.2101292916212871,0,0.026105,certified,1.753519614057446,-1.4832532161698233,-1.5866871306683292,-1.5434171496801052,112.5,108.25,env_NEAR_gate_LOW_likely_floor_or_bottom,environment collision (impulse=6.4),1,0,0,17.09200659999624
r1-alt,r1-alt-B-run10,B,10,20260721T194509-0308865a,20260721T194532-raceprep-r1-alt-B-run10,abort_collision,False,339795315122400,1002,environment,2,1.9548451900482178,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,1,0.0103523,none,12.118049339372954,-6.891276082806931,-0.7292487210817695,5.004981590873928,138.02282820113302,160.74280899418738,env_FAR_STRUCTURE_or_hangar,environment collision (impulse=2.0),81,3,1,13.455984200001694
r1b,r1b-A-run1,A,1,20260722T035253-49b2dfca,20260722T035313-raceprep-r1b-A-run1,abort_collision,False,369056389447800,1002,environment,2,3.211886167526245,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.1369752,none,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=3.2),6,0,0,10.56799069995759
r1b,r1b-B-run2,B,2,20260722T035407-af44e079,20260722T035431-raceprep-r1b-B-run2,abort_collision,False,369134303034500,1002,environment,2,2.7334887981414795,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,,,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=2.7),2,0,0,14.343992300040554
r1b,r1b-A-run3,A,3,20260722T035525-49b2dfca,20260722T035542-raceprep-r1b-A-run3,abort_collision,False,369205292223900,1002,environment,2,5.083582878112793,align,"[0.4, 0.5353670169791719, -0.7592240434295184]",0.4,0.5353670169791719,-0.7592240434295184,0,0.030429,certified,0.6656686016560388,0.11396873668096405,-0.8760487368808935,-0.6323004935125119,399.5,101.0,env_NEAR_gate_LOW_likely_floor_or_bottom,environment collision (impulse=5.1),1,0,0,7.704001900041476
r1b,r1b-B-run4,B,4,20260722T035636-af44e079,20260722T035702-raceprep-r1b-B-run4,abort_collision,False,369284752588000,1002,environment,2,8.838188171386719,approach,"[1.8138652065126704, 0.07195523805890544, -2.9954122900418776]",1.8138652065126704,0.07195523805890544,-2.9954122900418776,0,,,2.4192259726494614,0.05330922357461149,-2.6584955748429633,-1.3118413524921848,327.0514088955457,-171.64907849351,env_NO_GATE_IN_VIEW,environment collision (impulse=8.8),17,0,0,15.995997000019997
