flight,flight_id,frame_id,mono_ns,t_rel_s,feature_ts_ns,topic,phase,commit,source,feature_mode,cert_status,range_z_m,range_norm_m,x_m,y_down_m,gate_age_s,center_x_px,y_top_px,span_px,span_x_range,e_meas,e_reject,level_pitch_rad,level_roll_rad,image_w,image_h,det_confidence,det_cert_status,setpoint_speed_xy_mps,setpoint_vz_up_mps,truth_vz_up_mps,trial,drop_full_after_ts_ns,full_dropped,fed,source_valid,active_sample,observer_ready,active_source,shadow_owner,shadow_capture,phase_changed,admission_score,admission_sigma,admission_e_cross_m,admission_vz_vis_mps,admission_h_tail_s,rate_source,rate_anchor_age_s,rate_anchor_age_frozen_s,rate_anchor_elapsed_s,rate_anchor_valid,rate_anchor_v_mps,rate_hold_corrected_mps,rate_feed_forward_mps,anchor_applied_ref_mps,logged_applied_vz_up_mps,terminal_rate_input_mps,terminal_vz_up_mps,terminal_vz_goal_mps,rate_error_anchor_only_mps,sigma_a_anchor_only_sample_mps2,rate_error_mps,sigma_a_sample_mps2,applied_e_z,transition_id,candidate_frame_id,candidate_range_z_m
F2,20260720T071112-cd18c5fb,308,208150408857100,6.9368124,1784531480298793200,feature_side,position,True,tracker_parallel,SIDE_PAIR,certified,1.497103373282544,1.884470214415466,0.026223899581717836,-1.144212299276593,0.0,297.6463592271962,17.61342016132213,301.42493901230114,451.26429298680114,-0.1401893469105473,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,certified,1.3793854312377976,0.33324159221968985,-0.45409451729582395,anchor_drop_frame_304,1784531480159929900,False,True,True,True,True,SIDE_PAIR,term,True,False,0.2708939736582296,0.0692148627279174,0.0724642482023948,-0.4253071902258842,0.5,FULL_RATE_ANCHOR,0.1667172908782959,0.1667172908782959,0.1667172908782959,True,-0.4253071902258842,-0.4253071902258842,0.0,0.33324159221968985,0.33324159221968985,-0.4253071902258842,-0.16698913679678032,-0.16698913679678032,-0.02878732706993975,-0.17267151426395586,-0.02878732706993975,-0.17267151426395586,-0.1401893469105473,1,304,1.8205209770928898
F2,20260720T071112-cd18c5fb,309,208150438790800,6.9667461,1784531480326569300,feature,position,True,detector,FULL_QUAD,certified,1.4409211052718314,1.8250063953457596,0.032456663516831394,-1.1195272557774028,0.0,265.5,10.0,255.07057846799972,367.53657984843557,0.05184613472384944,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,1.363899729276213,0.33324159221968985,-0.5509973031715387,anchor_drop_frame_304,1784531480159929900,True,False,False,False,True,SIDE_PAIR,term,False,False,0.2708939736582296,0.0692148627279174,0.0724642482023948,-0.4253071902258842,0.5,FULL_RATE_ANCHOR,0.19449329376220703,0.1667172908782959,0.19449329376220703,True,-0.4253071902258842,-0.4253071902258842,0.0,0.33324159221968985,0.33324159221968985,-0.4253071902258842,-0.17350013063542244,-0.17350013063542244,-0.12569011294565452,-0.6462439424740618,-0.12569011294565452,-0.6462439424740618,-0.1401893469105473,1,304,1.8205209770928898
F2,20260720T071112-cd18c5fb,309,208150438790800,6.9667461,1784531480326569300,feature_side,position,True,tracker_parallel,SIDE_PAIR,none,1.4409211052718314,1.8250063953457596,0.032456663516831394,-1.1195272557774028,0.0,297.3457577991671,12.805092060073846,314.80321523136047,453.60659683429816,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,1.363899729276213,0.33324159221968985,-0.5509973031715387,anchor_drop_frame_304,1784531480159929900,False,True,False,False,True,SIDE_PAIR,term,False,False,0.2708939736582296,0.0692148627279174,0.0724642482023948,-0.4253071902258842,0.5,FULL_RATE_ANCHOR,0.19449329376220703,0.1667172908782959,0.19449329376220703,True,-0.4253071902258842,-0.4253071902258842,0.0,0.33324159221968985,0.33324159221968985,-0.4253071902258842,-0.17350013063542244,-0.17350013063542244,-0.12569011294565452,-0.6462439424740618,-0.12569011294565452,-0.6462439424740618,-0.1401893469105473,1,304,1.8205209770928898
F2,20260720T071112-cd18c5fb,310,208150470606100,6.9985614,1784531480361406400,feature,position,True,detector,FULL_QUAD,certified,1.3790571721205138,1.7324278978709382,0.02374008284986481,-1.0483053685881663,0.0,259.5,7.0,265.1207272168662,365.61664034622567,0.09609947540341199,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,1.3758991487328323,0.33324159221968985,0.5962509791772734,anchor_drop_frame_304,1784531480159929900,True,False,False,False,True,SIDE_PAIR,term,False,False,0.2708939736582296,0.0692148627279174,0.0724642482023948,-0.4253071902258842,0.5,FULL_RATE_ANCHOR,0.22933053970336914,0.1667172908782959,0.22933053970336914,True,-0.4253071902258842,-0.4253071902258842,0.0,0.33324159221968985,0.33324159221968985,-0.4253071902258842,-0.18128327458359564,-0.18128327458359564,1.0215581694031577,4.454523024820448,1.0215581694031577,4.454523024820448,-0.1401893469105473,1,304,1.8205209770928898
F2,20260720T071112-cd18c5fb,310,208150470606100,6.9985614,1784531480361406400,feature_side,position,True,tracker_parallel,SIDE_PAIR,none,1.3790571721205138,1.7324278978709382,0.02374008284986481,-1.0483053685881663,0.0,314.2369595254786,8.596886764220997,355.57010738338994,490.35150677872514,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,1.3758991487328323,0.33324159221968985,0.5962509791772734,anchor_drop_frame_304,1784531480159929900,False,True,False,False,True,SIDE_PAIR,term,False,False,0.2708939736582296,0.0692148627279174,0.0724642482023948,-0.4253071902258842,0.5,FULL_RATE_ANCHOR,0.22933053970336914,0.1667172908782959,0.22933053970336914,True,-0.4253071902258842,-0.4253071902258842,0.0,0.33324159221968985,0.33324159221968985,-0.4253071902258842,-0.18128327458359564,-0.18128327458359564,1.0215581694031577,4.454523024820448,1.0215581694031577,4.454523024820448,-0.1401893469105473,1,304,1.8205209770928898
F2,20260720T071112-cd18c5fb,311,208150504669700,7.032625,1784531480395970000,feature,position,True,detector,FULL_QUAD,certified,1.316321586403276,1.6522460238391528,0.03278690130718806,-0.9980678451707206,0.0,260.0,5.0,274.18242102658587,360.91223940960646,0.12608639114647818,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,1.3719666321851611,0.33324159221968985,0.2440111935124299,anchor_drop_frame_304,1784531480159929900,True,False,False,False,True,SIDE_PAIR,term,False,False,0.2708939736582296,0.0692148627279174,0.0724642482023948,-0.4253071902258842,0.5,FULL_RATE_ANCHOR,0.26389408111572266,0.1667172908782959,0.26389408111572266,True,-0.4253071902258842,-0.4253071902258842,0.0,0.33324159221968985,0.33324159221968985,-0.4253071902258842,-0.189923193984155,-0.189923193984155,0.6693183837383141,2.536314497500249,0.6693183837383141,2.536314497500249,-0.1401893469105473,1,304,1.8205209770928898
F2,20260720T071112-cd18c5fb,311,208150504669700,7.032625,1784531480395970000,feature_side,position,True,tracker_parallel,SIDE_PAIR,none,1.316321586403276,1.6522460238391528,0.03278690130718806,-0.9980678451707206,0.0,336.9580430245644,4.969210032997793,399.203160371125,525.4797373569207,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,1.3719666321851611,0.33324159221968985,0.2440111935124299,anchor_drop_frame_304,1784531480159929900,False,True,False,False,True,SIDE_PAIR,term,False,False,0.2708939736582296,0.0692148627279174,0.0724642482023948,-0.4253071902258842,0.5,FULL_RATE_ANCHOR,0.26389408111572266,0.1667172908782959,0.26389408111572266,True,-0.4253071902258842,-0.4253071902258842,0.0,0.33324159221968985,0.33324159221968985,-0.4253071902258842,-0.189923193984155,-0.189923193984155,0.6693183837383141,2.536314497500249,0.6693183837383141,2.536314497500249,-0.1401893469105473,1,304,1.8205209770928898
F2,20260720T071112-cd18c5fb,312,208150539550100,7.0675054,1784531480430727000,feature,position,True,detector,FULL_QUAD,certified,1.2654288899954418,1.6053468412541072,0.03738311009137784,-0.9871325686904164,0.0,264.0,2.0,282.02836736753983,356.8868438651326,0.146112794883707,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,1.3568881592417301,0.33324159221968985,-0.7074086515504032,anchor_drop_frame_304,1784531480159929900,True,False,False,False,True,SIDE_PAIR,term,False,False,0.2708939736582296,0.0692148627279174,0.0724642482023948,-0.4253071902258842,0.5,FULL_RATE_ANCHOR,0.29865097999572754,0.1667172908782959,0.29865097999572754,True,-0.4253071902258842,-0.4253071902258842,0.0,0.33324159221968985,0.33324159221968985,-0.4253071902258842,-0.19756147656854944,-0.19756147656854944,-0.282101461324519,-0.9445857546777671,-0.282101461324519,-0.9445857546777671,-0.1401893469105473,1,304,1.8205209770928898
F2,20260720T071112-cd18c5fb,312,208150539550100,7.0675054,1784531480430727000,feature_side,position,True,tracker_parallel,SIDE_PAIR,none,1.2654288899954418,1.6053468412541072,0.03738311009137784,-0.9871325686904164,0.0,347.1247672705672,0.21630895534088346,429.1603688903333,543.0719292349288,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,1.3568881592417301,0.33324159221968985,-0.7074086515504032,anchor_drop_frame_304,1784531480159929900,False,True,False,False,True,SIDE_PAIR,term,False,False,0.2708939736582296,0.0692148627279174,0.0724642482023948,-0.4253071902258842,0.5,FULL_RATE_ANCHOR,0.29865097999572754,0.1667172908782959,0.29865097999572754,True,-0.4253071902258842,-0.4253071902258842,0.0,0.33324159221968985,0.33324159221968985,-0.4253071902258842,-0.19756147656854944,-0.19756147656854944,-0.282101461324519,-0.9445857546777671,-0.282101461324519,-0.9445857546777671,-0.1401893469105473,1,304,1.8205209770928898
F2,20260720T071112-cd18c5fb,313,208150573979400,7.1019347,1784531480465555400,feature,position,True,detector,FULL_QUAD,certified,1.194004793393273,1.543267160575786,0.018503090597060318,-0.9775907722068031,0.0,262.0,0.0,296.0,353.4254188444088,0.1378038544011053,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,1.3441643683922997,0.33324159221968985,-0.10180385318495636,anchor_drop_frame_304,1784531480159929900,True,False,False,False,True,SIDE_PAIR,term,False,False,0.25816736787542827,0.06761459263412173,0.06293818260718481,-0.4253071902258842,0.47760191735730917,FULL_RATE_ANCHOR,0.3334794044494629,0.1667172908782959,0.3334794044494629,True,-0.4253071902258842,-0.4253071902258842,0.0,0.33324159221968985,0.33324159221968985,-0.4253071902258842,-0.20937939393820906,-0.20937939393820906,0.3235033370409278,0.97008490696748,0.3235033370409278,0.97008490696748,-0.1401893469105473,1,304,1.8205209770928898
