flight_id,cohort,source_class,term_status_rows,term_status_owner_term_rows,shadow_owner_term_rows,shadow_up_range_mps,term_status_owner_values,path
20260715T183716-8e6cf1f5,fixtures/20260715T190627-phase3e-r2training-slow,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T190627-phase3e-r2training-slow\20260715T183716-8e6cf1f5-flight.jsonl
20260715T184758-8e6cf1f5,fixtures/20260715T190627-phase3e-r2training-slow,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T190627-phase3e-r2training-slow\20260715T184758-8e6cf1f5-flight.jsonl
20260715T185046-8e6cf1f5,fixtures/20260715T190627-phase3e-r2training-slow,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T190627-phase3e-r2training-slow\20260715T185046-8e6cf1f5-flight.jsonl
20260715T185843-7f28e2fb,fixtures/20260715T190627-phase3e-r2training-slow,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T190627-phase3e-r2training-slow\20260715T185843-7f28e2fb-flight.jsonl
20260715T195033-8edfeec4,fixtures/20260715T200734-phase3f-r2training-slow,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T200734-phase3f-r2training-slow\20260715T195033-8edfeec4-flight.jsonl
20260715T200011-8edfeec4,fixtures/20260715T200734-phase3f-r2training-slow,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T200734-phase3f-r2training-slow\20260715T200011-8edfeec4-flight.jsonl
20260715T200142-8edfeec4,fixtures/20260715T200734-phase3f-r2training-slow,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T200734-phase3f-r2training-slow\20260715T200142-8edfeec4-flight.jsonl
20260715T203300-8edfeec4,fixtures/20260715T211420-phase3g-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T211420-phase3g-r2training\20260715T203300-8edfeec4-flight.jsonl
20260715T204925-8edfeec4,fixtures/20260715T211420-phase3g-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T211420-phase3g-r2training\20260715T204925-8edfeec4-flight.jsonl
20260715T205124-8edfeec4,fixtures/20260715T211420-phase3g-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T211420-phase3g-r2training\20260715T205124-8edfeec4-flight.jsonl
20260715T205845-fc86a160,fixtures/20260715T211420-phase3g-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260715T211420-phase3g-r2training\20260715T205845-fc86a160-flight.jsonl
