source,t_s,frame_id,preceding_range_m,bin_name,detected,det_range_m,reason,red_frac,lap_var,mean_v,touches_edge,n_quads
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.0,0,,no_preceding,True,6.589850089387536,ok,0.02349392361111111,2726.446601121521,43.08740885416667,False,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.0043863,0,6.589850089387536,5-8m,True,6.589850089387536,ok,0.02349392361111111,2726.446601121521,43.08740885416667,False,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.009922,5,6.589850089387536,5-8m,True,6.589850089387536,ok,0.02349392361111111,2726.446601121521,43.08740885416667,False,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.0135125,5,6.589850089387536,5-8m,True,6.589850089387536,ok,0.02349392361111111,2726.446601121521,43.08740885416667,False,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.019194,10,6.589850089387536,5-8m,True,6.589850089387536,ok,0.02349392361111111,2726.446601121521,43.08740885416667,False,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.024761,11,6.589850089387536,5-8m,True,6.589850089387536,ok,0.02349392361111111,2726.446601121521,43.08740885416667,False,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.0307231,12,6.589850089387536,5-8m,True,14.3584640736293,ok,0.013741319444444445,4176.746433256173,50.6803515625,False,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.1558477,15,14.3584640736293,>=8m,True,6.470555590227496,ok,0.02298611111111111,4118.015930728696,45.550381944444446,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.1803174,16,6.470555590227496,5-8m,True,6.470555590227496,ok,0.023988715277777777,4164.162615342581,45.113346354166666,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.1860821,16,6.470555590227496,5-8m,True,6.470555590227496,ok,0.023988715277777777,4164.162615342581,45.113346354166666,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.2192644,17,6.470555590227496,5-8m,True,6.481087387618993,ok,0.02444878472222222,4171.051772462275,44.810924479166665,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.2473228,18,6.481087387618993,5-8m,True,6.475474698190922,ok,0.024856770833333333,4186.106844697156,44.58835503472222,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.2610778,18,6.475474698190922,5-8m,True,6.475474698190922,ok,0.024856770833333333,4186.106844697156,44.58835503472222,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.2781247,19,6.475474698190922,5-8m,True,6.475276467012235,ok,0.025503472222222223,4210.4375937111,44.53204861111111,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.2860222,19,6.475276467012235,5-8m,True,6.475276467012235,ok,0.025503472222222223,4210.4375937111,44.53204861111111,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.3105707,20,6.475276467012235,5-8m,True,6.475276467012235,ok,0.025993923611111112,4215.222778732469,44.46810763888889,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.3298149,20,6.475276467012235,5-8m,True,6.475276467012235,ok,0.025993923611111112,4215.222778732469,44.46810763888889,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.3632611,21,6.475276467012235,5-8m,True,6.475276467012235,ok,0.026497395833333333,4220.3504655244615,44.40459201388889,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.4026426,23,6.475276467012235,5-8m,True,6.480143044565699,ok,0.027122395833333333,4228.921745746358,44.40274739583333,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.4089968,23,6.480143044565699,5-8m,True,6.480143044565699,ok,0.027122395833333333,4228.921745746358,44.40274739583333,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.453369,24,6.480143044565699,5-8m,True,6.475276467012235,ok,0.027313368055555554,4227.79435185155,44.432530381944446,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.4838382,25,6.475276467012235,5-8m,True,6.480143044565699,ok,0.027426215277777777,4232.447680103369,44.404210069444446,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.4891631,25,6.480143044565699,5-8m,True,6.480143044565699,ok,0.027426215277777777,4232.447680103369,44.404210069444446,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.522107,26,6.480143044565699,5-8m,True,6.4334571730288275,ok,0.027404513888888888,4231.4232822046915,44.3338671875,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.5257893,26,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.027404513888888888,4231.4232822046915,44.3338671875,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.5329339,26,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.027404513888888888,4231.4232822046915,44.3338671875,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.5445064,27,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.027491319444444443,4233.358644103081,44.185282118055554,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.5486547,27,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.027491319444444443,4233.358644103081,44.185282118055554,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.5623018,27,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.027491319444444443,4233.358644103081,44.185282118055554,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.565782,27,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.027491319444444443,4233.358644103081,44.185282118055554,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.5986747,29,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.027756076388888887,4230.252967253791,44.024149305555554,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.6067194,29,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.027756076388888887,4230.252967253791,44.024149305555554,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.6254875,29,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.027756076388888887,4230.252967253791,44.024149305555554,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.6491076,30,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.02782986111111111,4234.482064392768,44.05360677083333,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.6572097,30,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.02782986111111111,4234.482064392768,44.05360677083333,True,1
20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,0.6865038,31,6.4334571730288275,5-8m,True,6.4334571730288275,ok,0.02766059027777778,4235.786782550557,44.33612847222222,True,1
