diagnostic_only,report_generator_commit,criterion_commit,response60_commit,response64_commit,source_csv,unit,cluster_id,cut_id,flight_id,fixture_dir,n_rows,age_span_s,n_distinct_ages_old,n_distinct_ages_new,estimable_or_analyzable,auth_at_latch_median,auth_bin,v_latch_median_mps,abs_v_latch_median_mps,abs_v_latch_bin,b0_old_theil_sen_mps,b1_old_theil_sen_mps2,b0_new_theil_sen_mps,b1_new_theil_sen_mps2,b0_old_ols_mps_descriptor,b1_old_ols_mps2_descriptor,b0_new_ols_mps_descriptor,b1_new_ols_mps2_descriptor,delta_abs_b0_new_minus_old_mps,repair_worsened_by_abs_b0,definition
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1:cut06,20260720T071333-cd18c5fb,20260720T071602-phase6l-cohort-3,7,0.23606204986572266,7,7,True,1.0,>=0.999,-0.0,0.0,<0.50,0.003494037518238527,0.38301795120848625,0.003494037518238527,0.38301795120848625,0.014284992856357981,0.333194883233951,0.014284992856357981,0.333194883233951,0.0,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1:cut07,20260720T071333-cd18c5fb,20260720T071602-phase6l-cohort-3,6,0.20086383819580078,6,6,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.02620076356243249,0.296012022188031,-0.02620076356243249,0.296012022188031,-0.01834645079858311,0.25140192667259814,-0.01834645079858311,0.25140192667259814,0.0,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb:A1:cut08,20260720T071333-cd18c5fb,20260720T071602-phase6l-cohort-3,5,0.13196110725402832,5,5,False,1.0,>=0.999,-0.0,0.0,<0.50,-0.012103545465501714,0.48921842800385074,-0.012103545465501714,0.48921842800385074,-0.009211991867413345,0.48228115694058127,-0.009211991867413345,0.48228115694058127,0.0,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T134522-9aa0ef5c:A1,20260720T134522-9aa0ef5c:A1:cut01,20260720T134522-9aa0ef5c,20260720T134548-phase7m-metrology-f2,7,0.19464993476867676,7,7,True,1.0,>=0.999,-0.0,0.0,<0.50,0.002513511614469943,-0.2987512227488622,0.002513511614469943,-0.2987512227488622,0.009585897842078413,-0.3575117316768451,0.009585897842078413,-0.3575117316768451,0.0,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T134522-9aa0ef5c:A1,20260720T134522-9aa0ef5c:A1:cut02,20260720T134522-9aa0ef5c,20260720T134548-phase7m-metrology-f2,6,0.16674518585205078,6,6,True,1.0,>=0.999,-0.0,0.0,<0.50,0.008552970143826513,-0.3958407102896851,0.008552970143826513,-0.3958407102896851,0.011787263340769641,-0.4128079180066351,0.011787263340769641,-0.4128079180066351,0.0,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T134522-9aa0ef5c:A1,20260720T134522-9aa0ef5c:A1:cut03,20260720T134522-9aa0ef5c,20260720T134548-phase7m-metrology-f2,5,0.13013267517089844,5,5,False,1.0,>=0.999,-0.0,0.0,<0.50,0.0,-0.4936291889287461,0.0,-0.4936291889287461,0.003875113670187537,-0.5247511830307351,0.003875113670187537,-0.5247511830307351,0.0,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c:A1:cut01,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,3,0.16659045219421387,3,3,False,1.0,>=0.999,-0.0,0.0,<0.50,0.0,-0.06401801586699023,0.0,-0.06401801586699023,0.0028351231286777873,-0.01659505536841758,0.0028351231286777873,-0.01659505536841758,0.0,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c:A1:cut02,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,1,0.0,1,1,False,0.2203381061553955,<0.50,0.4730768868440672,0.4730768868440672,<0.50,,,,,,,,,,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c:A1:cut03,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,1,0.0,1,1,False,0.47007473309834796,<0.50,-0.2439994005006682,0.2439994005006682,<0.50,,,,,,,,,,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c:A1:cut04,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,1,0.0,1,1,False,0.7914040088653564,0.50-0.80,-0.2152048650907116,0.2152048650907116,<0.50,,,,,,,,,,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c:A1:cut05,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,1,0.0,1,1,False,1.0,>=0.999,-0.34138545871829495,0.34138545871829495,<0.50,,,,,,,,,,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c:A1:cut06,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,1,0.0,1,1,False,1.0,>=0.999,-0.6666423772938648,0.6666423772938648,0.50-1.00,,,,,,,,,,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c:A1:cut07,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,1,0.0,1,1,False,1.0,>=0.999,-0.7703993055956485,0.7703993055956485,0.50-1.00,,,,,,,,,,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c:A1:cut08,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,1,0.0,1,1,False,1.0,>=0.999,-0.7528920741245079,0.7528920741245079,0.50-1.00,,,,,,,,,,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c:A1:cut09,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,2,0.43050336837768555,2,2,False,1.0,>=0.999,-0.7272671583669992,0.7272671583669992,0.50-1.00,0.17140403155618045,2.8913572343886704,0.17140403155618045,2.8913572343886704,0.17140403155618045,2.8913572343886704,0.17140403155618045,2.8913572343886704,0.0,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/taskB-five-cluster-DIAGNOSTIC-bb0dbcf-20260720T183318Z/DIAGNOSTIC_anchor_policy_samples.csv,cut,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c:A1:cut10,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,1,0.0,1,1,False,1.0,>=0.999,-0.7291058601055914,0.7291058601055914,0.50-1.00,,,,,,,,,,False,primary repair-worsened iff estimable cut and abs(Theil-Sen b0_new) > abs(Theil-Sen b0_old)
