diagnostic_only,report_generator_commit,criterion_commit,response60_commit,response64_commit,source_csv,unit,cluster_id,flight_id,fixture_dir,target_set,n_rows,estimable_or_analyzable,auth_at_latch_median,auth_bin,v_latch_median_mps,abs_v_latch_median_mps,abs_v_latch_bin,b0_old_mps,b0_new_mps,delta_abs_b0_new_minus_old_mps,repair_worsened_by_abs_b0,definition
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T142919-a76247fb:A1,20260719T142919-a76247fb,20260719T143556-phase6e-aim-tfv1,confirmatory_20,36,True,0.9998846054077148,>=0.999,-0.0,0.0,<0.50,-0.13174692699451615,-0.13174692699451615,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T143404-a76247fb:A1,20260719T143404-a76247fb,20260719T143556-phase6e-aim-tfv1,confirmatory_20,153,True,1.0,>=0.999,-0.0,0.0,<0.50,0.015994754597803224,0.015994754597803224,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T144941-a76247fb:A1,20260719T144941-a76247fb,20260719T145242-phase6f-repeat,confirmatory_20,22,True,0.21966814994812012,<0.50,-0.0,0.0,<0.50,-0.06344467093845457,-0.06344467093845457,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T150627-486b0765:A1,20260719T150627-486b0765,20260719T151340-phase6g-terminal-live,confirmatory_20,72,True,0.7119286855061848,0.50-0.80,0.16397323222744212,0.16397323222744212,<0.50,-0.10818226954066942,-0.17263680563850195,0.06445453609783253,True,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T160537-f170ead6:A1,20260719T160537-f170ead6,20260719T164956-phase6h-first-enable,confirmatory_20,145,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.0008797870804289898,-0.0008797870804289898,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T163649-f170ead6:A1,20260719T163649-f170ead6,20260719T164956-phase6h-first-enable,confirmatory_20,95,True,1.0,>=0.999,-0.0,0.0,<0.50,0.018589718150604284,0.018589718150604284,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T200816-f170ead6:A1,20260719T200816-f170ead6,20260719T204430-phase6i-r-rate-ab,confirmatory_20,121,True,0.7961705525716147,0.50-0.80,-0.0,0.0,<0.50,0.009158550065332848,0.009158550065332848,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8,20260719T204430-phase6i-r-rate-ab,confirmatory_20,127,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.4448848463023972,-0.4448848463023972,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260720T054016-5cebc2b2:A1,20260720T054016-5cebc2b2,20260720T054037-phase6j-block-a-cohort-2,confirmatory_20,155,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.0021071839143341764,-0.0021071839143341764,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260720T062804-c38fd469:A1,20260720T062804-c38fd469,20260720T063618-phase6k-cohort-2-redo,confirmatory_20,120,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.3197599859818874,-0.3197599859818874,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,20260720T071602-phase6l-cohort-3,discovery_overlap_3,20,True,0.21983742713928223,<0.50,-1.2960100199896838,1.2960100199896838,1.00-2.00,-0.6827026894034065,0.2305251782459188,-0.4521775111574877,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb,20260720T071602-phase6l-cohort-3,discovery_overlap_3,68,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.020166649907647105,-0.020166649907647105,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,discovery_overlap_3,13,True,1.0,>=0.999,-0.34138545871829495,0.34138545871829495,<0.50,-0.017327596785844827,0.01589504364853899,-0.0014325531373058364,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
