t,R,tx,ty,tz,cx,cy,cert,label
8.1656347,1.3338053854401983,0.4201197107302161,-0.7956487013433783,0.9846214394049275,439.3661441937761,179.7450468684784,none,TOP
8.1937313,1.5738756945953118,0.7025461023022703,-0.6202125455343404,1.2644564344174047,460.25,179.5,certified,TOP
8.2228253,1.6525277793154873,0.8436915607209479,-0.6568861223354809,1.2599735053010768,486.25,179.5,certified,TOP
8.2545409,1.714199150101043,0.9521921432274856,-0.6825088752020482,1.2513954146685295,508.0,179.5,certified,RIGHT
8.288876,1.7746821095268845,1.056246838438784,-0.695851258211187,1.2448414487832473,530.0,179.5,certified,RIGHT
8.3279649,1.8218440140563827,1.1359221263896975,-0.7088392187871569,1.2354527494973633,550.0,179.5,certified,RIGHT
8.3856109,1.59908590641777,0.8805427558475458,-0.798055027565576,1.0699665248061072,553.0646181161791,186.8553632072892,none,TOP
8.4211214,1.4666250439946356,0.7435425081051452,-0.795318142875263,0.9826508077269461,531.6466675760184,179.64866239170374,none,TOP
8.4579534,1.4225559312754217,0.6441552591487015,-0.7972888673577703,0.9864379563385197,502.5962309947523,179.47091304097276,none,TOP
8.4687641,20.1886337978298,5.337200861040976,-4.254435456681076,18.999868434721176,411.25,274.25,certified,FAR_FLICKER
8.4930418,0.8024829329343031,-0.12678859348217145,-0.4718945222751401,0.6365681974936944,319.5,71.25,certified,TOP
