report_layer_generator_commit,sequencing_floor_commit,response53_commit,generator_postdates_181f41f,source_checkpoint_dir,age_bin,approaches,flights,n_rows,median_signed_r_v_mps,p95_abs_centered_r_v_mps,predicted_scale_mps,balanced_coverage,worst_undercoverage,dangerous_safe_misclassifications,green,target_set,anchor_policy
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p10-0p20,20,20,284,0.05944612033859675,0.9538202677220868,0.21172781747829245,0.8228733766233767,0.25,51,False,confirmatory_20,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p20-0p30,19,19,342,0.06954155858262956,1.0520279967880806,0.35866817349303404,0.8417678812415655,0.16666666666666666,42,False,confirmatory_20,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p30-0p40,17,17,211,0.10340635417055107,1.0079692642369298,0.5468822679252061,0.91296869625043,0.0,10,False,confirmatory_20,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p40-0p50,15,15,205,0.10040243909535074,1.2783846361146893,0.6627189024805098,0.9128787878787878,0.0,8,False,confirmatory_20,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,gt0p50,12,12,68,0.09046271532325906,1.4844113293251624,0.8090302525324329,0.8981481481481483,0.0,3,False,confirmatory_20,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p00-0p10,20,20,427,-0.0,0.680966114849526,0.11337947173568083,0.880161605867251,0.45161290322580644,56,False,confirmatory_20,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p10-0p20,20,20,284,0.04744848395373212,0.9719616035683649,0.20287270108199285,0.8228733766233767,0.25,51,False,confirmatory_20,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p20-0p30,19,19,342,0.04834496975091711,1.0648205885218385,0.3138823577184272,0.7838249469828418,0.0,58,False,confirmatory_20,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p30-0p40,17,17,211,0.04704783853844485,1.0199878787263104,0.4638688164666659,0.8937048503611971,0.0,16,False,confirmatory_20,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p40-0p50,15,15,205,0.09414191669841815,1.2863046824116315,0.5577398305078939,0.8896464646464646,0.0,16,False,confirmatory_20,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,gt0p50,12,12,68,0.07443040755492292,1.4859404472714104,0.677092405769071,0.8888888888888888,0.0,4,False,confirmatory_20,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p00-0p10,23,23,465,-0.0,0.681205361093256,0.09548645075421387,0.8321950081241806,0.07692307692307693,67,False,pooled_23,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p10-0p20,23,23,308,0.04519221201487554,0.9134586702156147,0.19991440269754485,0.8019715791454922,0.25,60,False,pooled_23,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p20-0p30,22,22,366,0.06038974194649914,1.0314011983198643,0.32002109239596366,0.7637695637695638,0.0,59,False,pooled_23,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p30-0p40,19,19,216,0.10203045178789558,1.0063457221271137,0.4791211579597885,0.9107417666974454,0.0,14,False,pooled_23,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p40-0p50,17,17,213,0.10231639969887407,1.3363208853198856,0.5780638155720107,0.8781194295900178,0.0,16,False,pooled_23,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,gt0p50,14,14,70,0.09046271532325906,1.4652723281962254,0.7034562303572426,0.9047619047619048,0.0,4,False,pooled_23,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p00-0p10,23,23,465,-0.0,0.6562991322890215,0.11759292533538582,0.8655203643948385,0.45161290322580644,59,False,pooled_23,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p10-0p20,23,23,308,0.04535309088648325,0.9433522303585526,0.1995145331991714,0.7937590187590188,0.0,57,False,pooled_23,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p20-0p30,22,22,366,0.04834496975091711,1.0337839051701216,0.30396517454055105,0.7905760905760905,0.0,61,False,pooled_23,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p30-0p40,19,19,216,0.05231387782805014,1.0218801208231982,0.44661569979216126,0.904893813481071,0.0,16,False,pooled_23,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p40-0p50,17,17,213,0.09544245329875234,1.336370166463718,0.5362391362097962,0.8634135472370766,0.0,22,False,pooled_23,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,gt0p50,14,14,70,0.07443040755492292,1.4579096433559324,0.6502890661101024,0.8976190476190476,0.0,5,False,pooled_23,shadow_unattenuated_anchor
