diagnostic_only,computation_commit,checkpoint_evidence_commit,report_generator_commit,criterion_commit,creation_time_utc,source_checkpoint_dir,input_manifest_path,input_manifest_sha256,rng_resample_provenance,viewed_old_output_statement,target_set,cluster_id,flight_id,fixture_dir,era,recording_regime,listed,analyzable,n_rows,strict_failure_reason,auth_at_latch_median,v_latch_median_mps,predicted_offset_mps,b0_old_mps,b1_old_mps_per_s,b0_new_mps,b1_new_mps_per_s,remainder_mps,old_minus_new_b0_mps,regime_labels,note
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,legacy_discovery_appendix_5_listed_4_analyzable,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,20260720T071602-phase6l-cohort-3,phase6l,terminal_live,True,True,20,,0.21983742713928223,-1.2960100199896838,-1.1217234017253181,-0.6827026894034065,0.4034319877470337,0.2305251782459188,0.8846810092445989,0.2305251782459188,-0.9132278676493253,terminal_live,legacy appendix only; not merged into the legal 23 closure distribution
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,legacy_discovery_appendix_5_listed_4_analyzable,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb,20260720T071602-phase6l-cohort-3,phase6l,terminal_live,True,True,68,,1.0,-0.0,-0.0,-0.020166649907647105,0.39310426100444146,-0.020166649907647105,0.39310426100444146,-0.020166649907647105,0.0,terminal_live,legacy appendix only; not merged into the legal 23 closure distribution
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,legacy_discovery_appendix_5_listed_4_analyzable,20260720T071545-cd18c5fb:A1,20260720T071545-cd18c5fb,20260720T071602-phase6l-cohort-3,phase6l,terminal_live,True,False,0,NO_LEGAL_SIDE_MAINTENANCE_INTERVAL,,,,,,,,,,terminal_live,legacy appendix only; not merged into the legal 23 closure distribution
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,legacy_discovery_appendix_5_listed_4_analyzable,20260720T134522-9aa0ef5c:A1,20260720T134522-9aa0ef5c,20260720T134548-phase7m-metrology-f2,phase7m,metrology,True,True,18,,1.0,-0.0,-0.0,0.00585534659054086,-0.3786776824504602,0.00585534659054086,-0.3786776824504602,0.00585534659054086,0.0,metrology,legacy appendix only; not merged into the legal 23 closure distribution
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,legacy_discovery_appendix_5_listed_4_analyzable,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c,20260720T135040-phase7m-metrology-f3,phase7m,metrology,True,True,13,,1.0,-0.34138545871829495,-0.0,-0.017327596785844827,0.2851218368959447,0.01589504364853899,0.1125738843736347,0.01589504364853899,-0.03322264043438382,metrology,legacy appendix only; not merged into the legal 23 closure distribution
