diagnostic_only,computation_commit,checkpoint_evidence_commit,report_generator_commit,criterion_commit,creation_time_utc,source_checkpoint_dir,input_manifest_path,input_manifest_sha256,rng_resample_provenance,viewed_old_output_statement,event_index,flight_id,trial,mono_ns,frame_id,fed,trace_duplicate_count,selected_fed_row,range_z_m,needed_correction_col,needed_correction_m,old_cmd_col,old_cmd_mps,new_cmd_col,new_cmd_mps,command_deadband_mps,needed_deadband_m,old_wrong_sign_needed,new_wrong_sign_needed,new_excess_violation,zero_neutral_event,sign_evaluable_event,velocity_reference_col,velocity_reference_mps,old_opposition_to_velocity_rate,new_opposition_to_velocity_rate,support_status,off_support_reason
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,d0a73f028c265c428c1ceabbcb30b51cb2e66849,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,1,20260720T071112-cd18c5fb,anchor_drop_frame_304,208150408857100,308,True,1,True,1.497103373282544,applied_e_z,-0.1401893469105473,shadow_vz_cmd_old_mps,-0.16698913679678032,shadow_vz_cmd_new_mps,-0.16698913679678032,0.02,0.02,False,False,False,False,True,truth_vz_up_mps,-0.45409451729582395,False,False,paired_common_support,
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,d0a73f028c265c428c1ceabbcb30b51cb2e66849,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,2,20260720T071112-cd18c5fb,anchor_drop_frame_304,208150438790800,309,True,2,True,1.4409211052718314,applied_e_z,-0.1401893469105473,shadow_vz_cmd_old_mps,-0.17350013063542244,shadow_vz_cmd_new_mps,-0.17350013063542244,0.02,0.02,False,False,False,False,True,truth_vz_up_mps,-0.5509973031715387,False,False,paired_common_support,
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,d0a73f028c265c428c1ceabbcb30b51cb2e66849,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,3,20260720T071112-cd18c5fb,anchor_drop_frame_304,208150470606100,310,True,2,True,1.3790571721205138,applied_e_z,-0.1401893469105473,shadow_vz_cmd_old_mps,-0.18128327458359564,shadow_vz_cmd_new_mps,-0.18128327458359564,0.02,0.02,False,False,False,False,True,truth_vz_up_mps,0.5962509791772734,True,True,paired_common_support,
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,d0a73f028c265c428c1ceabbcb30b51cb2e66849,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,4,20260720T071112-cd18c5fb,anchor_drop_frame_304,208150504669700,311,True,2,True,1.316321586403276,applied_e_z,-0.1401893469105473,shadow_vz_cmd_old_mps,-0.189923193984155,shadow_vz_cmd_new_mps,-0.189923193984155,0.02,0.02,False,False,False,False,True,truth_vz_up_mps,0.2440111935124299,True,True,paired_common_support,
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,d0a73f028c265c428c1ceabbcb30b51cb2e66849,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,5,20260720T071112-cd18c5fb,anchor_drop_frame_304,208150539550100,312,True,2,True,1.2654288899954418,applied_e_z,-0.1401893469105473,shadow_vz_cmd_old_mps,-0.19756147656854944,shadow_vz_cmd_new_mps,-0.19756147656854944,0.02,0.02,False,False,False,False,True,truth_vz_up_mps,-0.7074086515504032,False,False,paired_common_support,
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,d0a73f028c265c428c1ceabbcb30b51cb2e66849,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,6,20260720T071112-cd18c5fb,anchor_drop_frame_304,208150573979400,313,True,2,True,1.194004793393273,applied_e_z,-0.1401893469105473,shadow_vz_cmd_old_mps,-0.20937939393820906,shadow_vz_cmd_new_mps,-0.20937939393820906,0.02,0.02,False,False,False,False,True,truth_vz_up_mps,-0.10180385318495636,False,False,paired_common_support,
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,d0a73f028c265c428c1ceabbcb30b51cb2e66849,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,7,20260720T071112-cd18c5fb,anchor_drop_frame_304,208150602000200,314,True,2,True,1.1395733864973996,applied_e_z,-0.1401893469105473,shadow_vz_cmd_old_mps,-0.2193803426459455,shadow_vz_cmd_new_mps,-0.2193803426459455,0.02,0.02,False,False,False,False,True,truth_vz_up_mps,0.017479053436338987,False,False,paired_common_support,
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,d0a73f028c265c428c1ceabbcb30b51cb2e66849,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,8,20260720T071112-cd18c5fb,anchor_drop_frame_304,208150638869800,315,True,2,True,1.064305018103599,applied_e_z,-0.1401893469105473,shadow_vz_cmd_old_mps,0.0,shadow_vz_cmd_new_mps,0.0,0.02,0.02,False,False,False,True,False,truth_vz_up_mps,-0.6079756287453972,False,False,paired_common_support,
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,d0a73f028c265c428c1ceabbcb30b51cb2e66849,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,9,20260720T071112-cd18c5fb,anchor_drop_frame_304,208150671664100,316,True,1,True,1.0055592429041487,applied_e_z,-0.1401893469105473,shadow_vz_cmd_old_mps,0.0,shadow_vz_cmd_new_mps,0.0,0.02,0.02,False,False,False,True,False,truth_vz_up_mps,-0.0688717391355893,False,False,paired_common_support,
