diagnostic_only,computation_commit,checkpoint_evidence_commit,report_generator_commit,criterion_commit,creation_time_utc,source_checkpoint_dir,input_manifest_path,input_manifest_sha256,rng_resample_provenance,viewed_old_output_statement,cluster_id,flight_id,target_set,legacy_discovery_listed,fixture_dir,era,recording_regime,regime_labels,n_rows,auth_at_latch_median,v_latch_median_mps,predicted_offset_mps,b0_old_mps,b1_old_mps_per_s,b0_new_mps,b1_new_mps_per_s,remainder_mps,old_minus_new_b0_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260719T142919-a76247fb:A1,20260719T142919-a76247fb,confirmatory_20,False,20260719T143556-phase6e-aim-tfv1,phase6e,archive,authority_limited;down;flat_no_ff;up,36,0.9998846054077148,-0.0,0.0,-0.13174692699451615,1.7001692822969314,-0.13174692699451615,1.7001692822969314,-0.13174692699451615,0.0
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260719T143404-a76247fb:A1,20260719T143404-a76247fb,confirmatory_20,False,20260719T143556-phase6e-aim-tfv1,phase6e,archive,down;flat_no_ff;up,153,1.0,-0.0,0.0,0.015994754597803224,-0.034597472118486045,0.015994754597803224,-0.034597472118486045,0.015994754597803224,0.0
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260719T144941-a76247fb:A1,20260719T144941-a76247fb,confirmatory_20,False,20260719T145242-phase6f-repeat,phase6f,archive,authority_limited;flat_no_ff;up,22,0.21966814994812012,-0.0,0.0,-0.06344467093845457,2.2781825342651225,-0.06344467093845457,2.2781825342651225,-0.06344467093845457,0.0
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260719T150627-486b0765:A1,20260719T150627-486b0765,confirmatory_20,False,20260719T151340-phase6g-terminal-live,phase6g,terminal-live,authority_limited;flat_no_ff,72,0.7119286855061848,0.16397323222744212,0.09343756034379577,-0.10818226954066942,0.35594960166096873,-0.17263680563850195,0.21698601480497096,-0.17263680563850195,0.06445453609783253
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260719T160537-f170ead6:A1,20260719T160537-f170ead6,confirmatory_20,False,20260719T164956-phase6h-first-enable,phase6h,first-enable,down;flat_no_ff;up,145,1.0,-0.0,0.0,-0.0008797870804289898,0.6384334405786515,-0.0008797870804289898,0.6384334405786515,-0.0008797870804289898,0.0
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260719T163649-f170ead6:A1,20260719T163649-f170ead6,confirmatory_20,False,20260719T164956-phase6h-first-enable,phase6h,first-enable,down;flat_no_ff;up,95,1.0,-0.0,0.0,0.018589718150604284,-1.2656733259185171,0.018589718150604284,-1.2656733259185171,0.018589718150604284,0.0
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260719T200816-f170ead6:A1,20260719T200816-f170ead6,confirmatory_20,False,20260719T204430-phase6i-r-rate-ab,phase6i,r-rate-ab,authority_limited;down;flat_no_ff;up,121,0.7961705525716147,-0.0,0.0,0.009158550065332848,0.09084841815417655,0.009158550065332848,0.09084841815417655,0.009158550065332848,0.0
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8,confirmatory_20,False,20260719T204430-phase6i-r-rate-ab,phase6i,r-rate-ab,down;flat_no_ff;up,127,1.0,-0.0,0.0,-0.4448848463023972,-0.5012106779470025,-0.4448848463023972,-0.5012106779470025,-0.4448848463023972,0.0
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260720T054016-5cebc2b2:A1,20260720T054016-5cebc2b2,confirmatory_20,False,20260720T054037-phase6j-block-a-cohort-2,phase6j,block-a,down;flat_no_ff;up,155,1.0,-0.0,0.0,-0.0021071839143341764,0.5224845210930611,-0.0021071839143341764,0.5224845210930611,-0.0021071839143341764,0.0
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260720T062804-c38fd469:A1,20260720T062804-c38fd469,confirmatory_20,False,20260720T063618-phase6k-cohort-2-redo,phase6k,cohort-2,down;flat_no_ff;up,120,1.0,-0.0,0.0,-0.3197599859818874,-0.4654732659882549,-0.3197599859818874,-0.4654732659882549,-0.3197599859818874,0.0
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260720T071112-cd18c5fb:A1,20260720T071112-cd18c5fb,discovery_overlap_3,True,20260720T071602-phase6l-cohort-3,phase6l,terminal_live,authority_limited,20,0.21983742713928223,-1.2960100199896838,-0.9534824345018444,-0.6827026894034065,0.4034319877470337,0.2305251782459188,0.8846810092445989,0.2305251782459188,-0.9132278676493253
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260720T071333-cd18c5fb:A1,20260720T071333-cd18c5fb,discovery_overlap_3,True,20260720T071602-phase6l-cohort-3,phase6l,terminal_live,authority_limited;down;flat_no_ff;up,68,1.0,-0.0,0.0,-0.020166649907647105,0.39310426100444146,-0.020166649907647105,0.39310426100444146,-0.020166649907647105,0.0
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260720T135008-9aa0ef5c:A1,20260720T135008-9aa0ef5c,discovery_overlap_3,True,20260720T135040-phase7m-metrology-f3,phase7m,metrology,authority_limited;down;flat_no_ff;up,13,1.0,-0.34138545871829495,0.01497290015124624,-0.017327596785844827,0.2851218368959447,0.01589504364853899,0.1125738843736347,0.01589504364853899,-0.03322264043438382
