phase,flight,fid,mode,n_frames_last2m,cyan_present_pct,above_horizon_pct_of_cyan,median_offset_px,v1_gate_bar_ge_60pct
phase5c,F1,20260717T095722-a560c093,dist_lt_2m,73,56.16438356164384,7.317073170731708,54.069835647185414,False
phase5c,F2,20260717T095851-a560c093,dist_lt_2m,21,71.42857142857143,0.0,113.97298272870799,True
phase5c,F3,20260717T100017-a560c093,dist_lt_2m,37,89.1891891891892,0.0,106.3402212397751,True
phase5d,F1,20260717T101837-7223cc0c,dist_lt_2m,35,60.0,71.42857142857143,-62.3090463356495,True
phase5d,F2,20260717T102007-7223cc0c,dist_lt_2m,70,41.42857142857143,0.0,120.07982214135396,False
phase5d,F3,20260717T102132-7223cc0c,dist_lt_2m,52,23.076923076923077,0.0,111.58123065267883,False
