fid,t,span_px,R,product,ratio_to_512
20260719T150627-486b0765,9.3948983,7.615773105863909,0.5423606088505599,4.130495338564069,0.008067373708132947
20260719T150627-486b0765,9.4575013,191.09421759959145,0.6093043814872364,116.43454406030644,0.227411218867786
20260719T151000-486b0765,18.0935151,191.8593234638338,5.393806179053204,1034.852004408194,2.021195321109754
20260719T151227-49448448,8.2784907,67.47592163134935,0.7533806147066963,50.83505131652684,0.09928720960259148
20260719T151227-49448448,8.3135934,70.34912934784623,0.7120547072382107,50.092428702243666,0.09783677480906966
20260719T151227-49448448,8.3493698,71.17583859709698,0.5675516650118836,40.39596570439948,0.07889837051640523
20260719T151227-49448448,10.6135524,68.18357573492314,4.340153776158341,295.9272036979049,0.5779828197224705
20260719T151227-49448448,10.6493532,69.18092222571191,4.194470290895649,290.1773229725111,0.5667525839306857
20260719T151227-49448448,10.6795777,66.18912297349165,4.105404537013811,271.7331257563377,0.5307287612428471
20260719T151227-49448448,10.7138753,65.37583651472461,4.068845911026495,266.00420508287385,0.519539463052488
20260719T151227-49448448,10.7425037,68.3593446428504,3.9478244419649404,269.8706916177499,0.5270911945659178
20260719T151227-49448448,10.7791592,71.25307010929424,3.813645769100061,271.7339693577,0.5307304089017578
20260719T151227-49448448,10.8133424,70.25667228100119,3.7710002377409384,264.93792787454265,0.5174568903799661
20260719T151227-49448448,11.914484,40.049968789001575,6.2295173899331004,249.49197703736323,0.48728901765110005
20260719T151227-49448448,11.9798192,41.19465984809196,6.722082010252315,276.9138818833223,0.5408474255533638
20260719T151227-49448448,12.0125364,43.18564576337837,6.675494781581044,288.2855529326398,0.5630577205715621
20260719T151227-49448448,12.1808802,33.52610922848042,6.481936108409807,217.3140979825785,0.4244415976222236
20260719T151227-49448448,12.2162426,33.24154027718932,6.47734295318582,215.31685666749487,0.4205407356787009
20260719T151227-49448448,12.2515185,32.89376840679705,6.405489287202822,210.70068114546913,0.4115247678622444
20260719T151227-49448448,12.2776219,31.04834939252005,6.280022334410654,194.98432763161136,0.38082876490549095
20260719T151227-49448448,12.4511473,24.186773244895647,5.7487094879890375,139.042732836771,0.27156783757181835
20260719T151227-49448448,12.4787508,22.360679774997898,6.478247288996182,144.8580131324919,0.2829258068993982
20260719T151227-49448448,12.7590926,13.601470508735444,5.30147121052447,72.10780432285857,0.14083555531808314
20260719T151227-49448448,12.7784188,17.26267650163207,5.217368960132355,90.06575254842134,0.17590967294613544
20260719T151227-49448448,12.8138641,23.194827009486403,5.159828371665203,119.6813264794143,0.23375259078010605
20260719T151227-49448448,13.7765974,14.422205101855956,2.0420039494974094,29.45019977845155,0.05751992144228819
20260719T160537-f170ead6,10.4021777,67.1863081289633,4.316237001899475,289.9920291672509,0.5663906819672869
20260719T160537-f170ead6,10.5421386,65.25335240430181,4.001978108583919,261.14248783372767,0.5100439215502494
20260719T160537-f170ead6,11.6402658,40.19950248448356,0.728883248637736,29.300743964511117,0.057228015555685775
20260719T163649-f170ead6,10.8424462,32.38826948140329,2.5476881124694843,82.51520914122936,0.1611625178539636
20260719T163649-f170ead6,12.4741965,21.02379604162864,1.3177290540150801,27.703666869741294,0.054108724354963465
20260719T163649-f170ead6,12.5702259,34.88552708502482,1.394081648653669,48.63327311284362,0.09498686154852269
20260719T163649-f170ead6,12.6388423,29.068883707497267,1.4810804107851183,43.053354222564884,0.08408858246594704
20260719T163649-f170ead6,12.7093729,29.5296461204668,1.510653136200511,44.60905252277442,0.08712705570854379
20260719T163649-f170ead6,16.5024347,45.5411901469428,4.420756751871753,201.32652383037276,0.3932158668561968
20260719T163649-f170ead6,16.5393808,46.87216658103186,4.387112504124326,205.63346810304327,0.4016278673887564
20260719T163649-f170ead6,16.5653068,46.87216658103186,4.36661250742835,204.67258884299886,0.39975115008398215
20260719T163649-f170ead6,16.6011629,50.80354318352215,4.308321523238308,218.8779985543353,0.42749609092643615
20260719T163649-f170ead6,16.6405962,48.83646178829912,4.272696943062431,208.66340099285085,0.4075457050641618
20260719T163649-f170ead6,16.6689942,50.35871324805669,4.26140080758881,214.59866130440207,0.4191380103601603
20260719T173427-50f9dcc8,8.4699359,96.6902270139025,0.9326738288220136,90.18044423872612,0.17613368015376196
20260719T173427-50f9dcc8,8.5066476,72.3671196055225,0.8456763547594335,61.1991619124382,0.11952961311023086
20260719T173427-50f9dcc8,8.5390878,44.28317965096906,0.7404412474038511,32.78909277977237,0.0640411968354929
20260719T173427-50f9dcc8,8.5711589,27.65863337187866,0.688309728195505,19.037706418456924,0.03718302034854868
20260719T173427-50f9dcc8,8.6005752,83.43260753446461,0.6017235558187836,50.203365276871075,0.09805344780638882
20260719T173427-50f9dcc8,13.569744,66.03029607687671,4.331420849710342,286.00500113993076,0.5586035178514273
20260719T173427-50f9dcc8,16.3049843,32.01562118716424,1.9975093896070428,63.95150393546275,0.12490528112395069
20260719T173427-50f9dcc8,16.3381055,27.202941017470888,1.9114334653664402,51.99661181718326,0.10155588245543605
20260719T173427-50f9dcc8,16.3684943,29.5296461204668,1.8782063143270225,55.46276780330321,0.10832571836582658
20260719T173427-50f9dcc8,16.4092645,24.698178070456937,1.7600825079553069,43.470831200176605,0.08490396718784493
20260719T173427-50f9dcc8,16.466806,25.632011235952593,1.578297898291424,40.454949462686145,0.07901357316930888
20260719T201630-f170ead6,8.2739837,43.04648650006177,1.1413860406507563,49.13265879023174,0.09596222419967136
20260719T201630-f170ead6,8.3093988,53.75872022286245,1.017844444044874,54.718014697803355,0.10687112245664718
20260719T201630-f170ead6,8.3827858,43.0,0.8081001884567897,34.74830810364195,0.06786778926492569
20260719T201630-f170ead6,8.4417614,18.027756377319946,0.6694470496221003,12.068628318102842,0.023571539683794614
20260719T201630-f170ead6,11.8057921,33.52610922848042,3.809972777113102,127.73356348303075,0.24947961617779443
20260719T201630-f170ead6,13.1374085,25.0,7.565979145086013,189.14947862715033,0.369432575443653
20260719T201630-f170ead6,13.2453359,16.0,7.597119803172268,121.5539168507563,0.2374099938491334
20260719T201630-f170ead6,13.2775519,17.08800749063506,7.607070662524986,129.98968046301718,0.25388609465433043
20260719T201630-f170ead6,13.3049789,21.540659228538015,7.6163512318205715,164.06122644950267,0.3204320829091849
20260719T201630-f170ead6,13.3376855,26.90724809414742,7.627204563836778,205.22708546396964,0.4008341512968157
20260719T201630-f170ead6,13.444845,34.0147027033899,7.656392672146215,260.4299205234665,0.5086521885223955
20260719T201630-f170ead6,13.4689773,35.35533905932738,7.489053618434038,264.778029913218,0.5171445896742539
20260719T201630-f170ead6,13.5051457,35.22782990761707,7.477483031821801,263.4155003821112,0.5144833991838109
20260719T201630-f170ead6,13.5386406,31.622776601683793,7.530553331343947,238.1370056841553,0.4651113392268658
20260719T201630-f170ead6,13.5765798,26.627053911388696,7.516709233649916,200.14782200062953,0.39091371484497955
20260719T201630-f170ead6,14.6073847,39.319206502675,6.472135416311417,254.47922894722504,0.4970297440375489
20260719T201630-f170ead6,15.2111326,34.48187929913333,4.60674596016817,158.84925816028894,0.31025245734431434
20260719T201630-f170ead6,15.2429079,39.56008088970496,4.481480748407891,177.2877409126717,0.3462651189700619
20260719T201630-f170ead6,15.2776277,42.44997055358225,4.378238159415858,185.8560809437733,0.3630001580933072
20260719T201630-f170ead6,15.4403964,52.46903848937962,4.624336097610209,242.63446869333762,0.47389544666667505
20260719T201851-50f9dcc8,9.7258489,18.439088914585774,15.43344485101709,284.5786618662601,0.5558176989575393
20260719T201851-50f9dcc8,9.7885362,19.235384061671343,15.244923809887084,293.241964474096,0.5727382118634687
20260719T201851-50f9dcc8,11.1292323,22.0,10.446334150774533,229.81935131703972,0.4488659205410932
