optimizer,campaign_id,flight_number,flight_id,score,gates_passed,aborted,finished,gate_clips,env_hits,abort_reason,param_hash
cem-trim,trim-camp-20260714T140605,30,20260714T141007-e038ba97,-220.503100,0,1,0,0,1,environment collision (impulse=7.7),e038ba97c3646c961163dfd41202f9e9cec86481ed7f5bd31124ddeca0b15acd
cem-trim,trim-camp-20260714T140605,31,20260714T141014-843de7e8,-220.471900,0,1,0,0,1,environment collision (impulse=7.5),843de7e81ba995dc0ee22db14b9b6168b8cdf72753af072bb60a803b84774814
cem-trim,trim-camp-20260714T140605,32,20260714T141022-a2a515f7,-220.529700,0,1,0,0,1,environment collision (impulse=3.7),a2a515f76edd313901db6d2e1b608e524746e8f6f68d5f33511ec4453511cea5
cem-trim,trim-camp-20260714T140605,33,20260714T141030-346dcb6f,-220.510900,0,1,0,0,1,environment collision (impulse=6.4),346dcb6f75b4d272c83d81be0d60bdd89bd69169881b00b4dbf3510fc12866be
cem-trim,trim-camp-20260714T140605,34,20260714T141038-1d5b65a7,-220.575000,0,1,0,0,1,environment collision (impulse=3.9),1d5b65a7cbf0bbf21a3a1566867bc2f8983b74cc515ec431dda14623207628c3
cem-trim,trim-camp-20260714T140605,35,20260714T141046-dde90411,-220.534400,0,1,0,0,1,environment collision (impulse=3.3),dde90411ba9721e2c023db4b051681023f1d05e83e8bb8e368bca09ec17d0d41
cem-trim,trim-camp-20260714T140605,36,20260714T141054-cce4a456,-220.671800,0,1,0,0,1,environment collision (impulse=3.7),cce4a4563996fae3e35f29f14139eaf4b9b4fbb3d457ca1bd91eae1eefd3095e
cem-trim,trim-camp-20260714T140605,37,20260714T141103-17163cd2,-220.510900,0,1,0,0,1,environment collision (impulse=6.1),17163cd26315a1f7abe319ed296a2faf10cce919351e59df8ba8978a165c2ce0
cem-trim,trim-camp-20260714T140605,38,20260714T141111-f0e7d43a,-220.664100,0,1,0,0,1,environment collision (impulse=2.5),f0e7d43a40c46ae01b866ce6c21c1ddd2f2fd9c5c55ecec0aaac1958711be1e9
cem-trim,trim-camp-20260714T140605,39,20260714T141120-d7030b0a,-220.489000,0,1,0,0,1,environment collision (impulse=8.4),d7030b0a05539741c1c8163e155aadd34c1650d0cdc37435efd6da32199ef59a
cem-trim,trim-camp-20260714T140605,40,20260714T141128-633bcd63,-220.518700,0,1,0,0,1,environment collision (impulse=5.8),633bcd634baad83f12c8f075ddc59e38f2edf8e68863ac58ce51273c7bc930b7
