label,idx,flight_id,gates_passed,finished,aborted,abort_reason,duration_s,lap_time_s,gate_clips,env_hits,score,param_hash,log_dir,error,last_fsm,failure_signature
single_gate,13,20260715T043017-29541507,1,True,False,,8.53200000000652,7.5,0,0,92.5,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043017-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 144507500000}",
single_gate,14,20260715T043028-29541507,1,True,False,,9.672000000020489,8.530999999999977,0,0,91.46900000000002,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043028-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 156218000000}",
single_gate,15,20260715T043040-29541507,1,True,False,,9.311999999976251,8.187000000000012,0,0,91.81299999999999,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043040-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 167812000000}",
single_gate,16,20260715T043051-29541507,1,True,False,,8.75,7.688000000000017,0,0,92.31199999999998,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043051-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 178625000000}",
single_gate,17,20260715T043102-29541507,1,True,False,,8.89100000000326,7.781000000000006,0,0,92.219,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043102-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 189578000000}",
single_gate,18,20260715T043113-29541507,1,True,False,,9.171999999962281,8.061999999999983,0,0,91.93800000000002,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043113-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 200828000000}",
single_gate,19,20260715T043124-29541507,1,True,False,,8.671999999962281,7.625,0,0,92.375,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043124-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 211562000000}",
single_gate,20,20260715T043135-29541507,1,True,False,,9.202999999979511,8.125,0,0,91.875,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043135-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 222812000000}",
single_gate,21,20260715T043146-29541507,1,True,False,,8.76600000000326,7.718999999999994,0,0,92.281,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043146-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 233656000000}",
single_gate,22,20260715T043157-29541507,1,True,False,,8.686999999976251,7.6410000000000196,0,0,92.35899999999998,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043157-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 244593000000}",
single_gate,23,20260715T043208-29541507,1,True,False,,9.311999999976251,8.188000000000017,0,0,91.81199999999998,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043208-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 255968000000}",
single_gate,24,20260715T043220-29541507,0,False,True,flight timeout,30.01600000000326,,0,2,-243.00160000000034,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043220-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""ABORTED"", ""ts_ns"": 288234000000}","gates=0 finished=False aborted=True abort=flight timeout last_fsm={""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""ABORTED"", ""ts_ns"": 288234000000}"
single_gate,25,20260715T043252-29541507,1,True,False,,8.764999999955762,7.6720000000000255,0,0,92.32799999999997,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043252-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 299171000000}",
single_gate,26,20260715T043303-29541507,1,True,False,,8.78100000001723,7.718000000000018,0,0,92.28199999999998,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043303-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 310218000000}",
single_gate,27,20260715T043314-29541507,0,False,True,flight timeout,30.01500000001397,,0,1,-223.00150000000139,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043314-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""ABORTED"", ""ts_ns"": 342515000000}","gates=0 finished=False aborted=True abort=flight timeout last_fsm={""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""ABORTED"", ""ts_ns"": 342515000000}"
single_gate,28,20260715T043346-29541507,1,True,False,,8.75,7.671999999999969,0,0,92.32800000000003,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043346-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 353640000000}",
single_gate,29,20260715T043357-29541507,1,True,False,,8.764999999955762,7.656999999999982,0,0,92.34300000000002,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043357-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 364671000000}",
single_gate,30,20260715T043408-29541507,1,True,False,,8.688000000023749,7.640000000000043,0,0,92.35999999999996,295415074b34dfa85139313a94c8565fb5ad79c1c69289cd6beeaf17a944f31a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-5ec57ee\flake-single-gate\20260715T043408-29541507,,"{""dst"": ""DONE"", ""reason"": ""flight over"", ""src"": ""FINISHED"", ""ts_ns"": 375625000000}",
