group,status,runs,pass_rate,passes,gates_per_run,class_A_retreat_on_phantom,stale_frame,stale_imu,environment_collision,gate_clips,grinding_timeout,other_abort,median_survival_time_s,median_commit_attempts,commit_attempts_per_run,median_closest_range_m,closest_range_min_m,closest_range_max_m,close_dz_n_le_2p5,median_true_world_dz_close_m,true_world_dz_close_min_m,true_world_dz_close_max_m,param_ok_runs,notes
T2c-control,OK,8,0.125000,1,0;0;0;0;0;1;0;0,0,7,0,0,1,0,0,34.884028,2.000000,2;2;2;1;0;2;2;2,0.888106,0.654879,6.138284,6,-0.013821,-0.147513,0.068668,8,T2c control: config B core + imu_stale_s=0.6.
T2f-geom-term,MISSING_AT_HEAD,0,,,,,,,,,,,,,,,,,0,,,,0,T2f remedy arm: T2c core plus geom_term_z_m=-0.9 and geom_term_fresh_s=0.3.
