task,requested_action,current_criterion_binding,status,admissible_residual_field,artifact_action
D,fix generator zero-fill/input validity behavior,typed input-validity gate before residual/verdict; missing input is INVALID_INPUT/OFF_SUPPORT and emits no admissible residual; zero command is observed data,RECORDED_NO_NUMERIC_JUDGE,NO,disposition only; no stale generator rerun under pre-REG2 state
E,apply cut estimability and publish board numbers,"cut rules: >=4 rows, >=4 unique ages, >=0.15s span; any-cut approach classifier; 5/23 historical, 4/23 pending authenticated post-criterion artifact, 4/22 unauthorized sensitivity",BLOCKED_FOR_ADJUDICATIVE_BOARD_NUMBER,NO,previous diagnostic cross-tab remains descriptive; adjudicative B/A/D/Q waits for REG-2-capable generator
F,valid Contract B intervention with plant/command stream,SIGNAL CHAIN requires setpoint.v_body[2] world-up transform through numerically complete pre-registered response model REG-2,NO_GO_PENDING_REG2,NO,intervention judge not run; legacy_response_model_registration numeric block is still pending calibration
G,"A/B/C/D nested decomposition, cross-fitted approach-outer",component-to-runtime mapping fixed; decomposition depends on the same admissible Contract B intervention input,NO_GO_PENDING_REG2,NO,no decomposition verdict generated from inadmissible residuals
H,manifest supersession rows/checker/transcripts,void/diagnostic/no-go rows must be typed; publish then attest at pushed tip,THIS_ARTIFACT_TO_BE_MANIFESTED,NO,add this D-H no-go disposition to manifest and verify after commit
