age_bin,n,age_min_s,age_max_s,age_median_s,rate_error_bias_mps,rate_error_rms_mps,sigma_a_rms_mps2,sigma_a_centered_mps2
all,16,0.1667172908782959,0.430652379989624,0.29865097999572754,0.25381627288313924,0.49811729628161905,1.9557607427881463,1.7189717575617587
0p10-0p20,3,0.1667172908782959,0.19449329376220703,0.19449329376220703,-0.09338918432041626,0.10396268430614014,0.5369909739176394,0.22324418358023024
0p20-0p30,6,0.22933053970336914,0.29865097999572754,0.26389408111572266,0.4695916972723176,0.7236825793043588,3.009313811974729,2.234740008063369
0p30-0p50,7,0.3334794044494629,0.430652379989624,0.36113858222961426,0.2176682479225101,0.33704808494645133,0.9257511001993061,0.6928809075990472
gte0p50,0,,,,,,,
