sigma_a_mps2,floor_m,corridor_pass,measured_lands_here
0.0,0.18560254774486065,True,False
0.1,0.1951887569289695,True,False
0.2,0.22054905792311585,True,False
0.3,0.2556425311633439,True,False
0.35,0.27540891346460106,True,False
0.4,0.2961694307060082,True,False
0.5,0.3397784838045986,False,False
1.0,0.5755346739066152,False,False
1.9557607427881463,1.0459137998617376,False,True
2.0,1.067857132732611,False,False
3.0,1.5652494809831357,False,False
