group,failed_gate,abort_phase,abort_class,count,runs
R1b-B-new-cap0.35-blend0.6,1,approach,collision,2,"4,10"
R1b-B-new-cap0.35-blend0.6,1,recover,collision,2,"2,6"
R1b-B-new-cap0.35-blend0.6,1,search,collision,1,8
R1d-new-cap1.2-blend0.6,1,commit,collision,2,"2,5"
R1d-new-cap1.2-blend0.6,1,recover,clip_budget,1,3
R1d-new-cap1.2-blend0.6,1,recover,collision,1,1
R1d-new-cap1.2-blend0.6,2,recover,collision,1,4
