fixture,attempt,reason,reached_gate,gate_rel_t_right,gate_rel_t_down,gate_rel_t_fwd,gate_rel_age_s,exit_range_m,closest_range_m,closest_fwd_m,gates_passed_flight
20260725T224000-raceprep-t7-B-run1,1,stale_budget,True,-0.18710060273855517,-0.8687265787714691,1.563654169335593,0.616760072,1.7985290838598345,1.7985290838598345,1.563654169335593,0
20260725T224000-raceprep-t7-B-run1,2,stale_budget,True,-0.2032904031806709,-0.6486853310421598,-0.13898738070991312,0.609588536,0.6938567134007124,0.6938567134007124,-0.13898738070991312,0
20260725T224331-raceprep-t7-B-run2,1,timer_expired,True,-0.16996520543502444,-0.6621888293867448,1.1940015289587034,0.0,1.3758713122886455,1.1024331458213052,1.0198232418983413,0
20260725T224331-raceprep-t7-B-run2,2,timer_expired,True,0.03182929181610508,-0.343149979203584,0.9650131777362139,0.0,1.0247026130782924,1.0247026130782924,0.9650131777362139,0
20260725T224701-raceprep-t7-B-run4,1,timer_expired,False,0.13093669253620724,-3.198001114869214,7.644743023266035,0.015707744,8.287728967571983,5.786237763163342,3.924404253967494,1
20260725T224701-raceprep-t7-B-run4,2,stale_budget,False,0.020464721704483206,-0.25348655262754194,5.100085774763556,0.60482852,5.106422343201062,5.106422343201062,5.100085774763556,1
20260725T224836-raceprep-t7-B-run5,1,stale_budget,False,-0.005153533946308157,-2.746170122571117,4.2981624112012025,0.619768376,5.10055653964127,5.10055653964127,4.2981624112012025,0
20260725T225011-raceprep-t7-B-run6,1,stale_budget,False,0.2815914670012237,-0.28015512241125945,2.0363478853607275,0.612514104,2.0747272970475605,2.0747272970475605,2.0363478853607275,0
20260725T225148-raceprep-t7-B-run7,1,stale_budget,True,-0.9792225966886233,-0.7396478252282083,0.7541733139285398,0.618662176,1.440393413853446,1.440393413853446,0.7541733139285398,1
20260725T225148-raceprep-t7-B-run7,2,stale_budget,False,0.33453220377653964,-0.13462142173544234,2.5138452530766346,0.611952168,2.539577263831441,2.539577263831441,2.5138452530766346,1
20260725T225148-raceprep-t7-B-run7,3,stale_budget,False,0.2972418653486991,0.4170483452882928,5.980976618953049,0.600801608,6.002862930742857,6.002862930742857,5.980976618953049,1
20260725T225415-raceprep-t7-B-run8,1,stale_budget,False,-2.6093897415029845,0.14997622192049193,2.991285330187775,0.603107512,3.972303565539666,3.9347475380752375,2.7843856072643725,0
