diagnostic_only,computation_commit,checkpoint_evidence_commit,report_generator_commit,criterion_commit,creation_time_utc,source_checkpoint_dir,input_manifest_path,input_manifest_sha256,observation_unit,cluster_id,flight_id,flight,fixture_dir,era,recording_regime,owner_state,owner_inference_basis,target_set,regime_labels,n_rows,n_cuts,auth_at_latch_median,delta_latch_median_mps,legacy_activity_rms_mps,legacy_activity_abs_mean_mps,legacy_activity_abs_median_mps,legacy_activity_max_abs_mps,near_zero_legacy_activity,pooled_b1_before_no_legacy_mps2,pooled_abs_b1_before_no_legacy_mps2,pooled_b1_after_recorded_legacy_mps2,pooled_abs_b1_after_recorded_legacy_mps2,max_abs_within_cut_b1_before_mps2,median_abs_within_cut_b1_before_mps2,max_abs_within_cut_b1_after_mps2,median_abs_within_cut_b1_after_mps2,large_cluster_before,large_cluster_after,refutation_candidate_cuts_before,plant_signal,plant_signal_formula,table_role
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260719T142919-a76247fb:A1,20260719T142919-a76247fb,A074,20260719T143556-phase6e-aim-tfv1,phase6e,archive,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,authority_limited;down;flat_no_ff;up,36,6,0.9998846054077148,0.0,0.30740455961695345,0.17986845761173886,0.06964270467875278,0.7521044293398593,False,0.0,0.0,1.7001692822969314,1.7001692822969314,0.0,0.0,1.1108603729742568,0.4700517602648265,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260719T143404-a76247fb:A1,20260719T143404-a76247fb,A075,20260719T143556-phase6e-aim-tfv1,phase6e,archive,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,down;flat_no_ff;up,153,10,1.0,0.0,0.1295278253930067,0.0898498568915479,0.06291949326873347,0.4710892601060167,False,0.0,0.0,-0.034597472118486045,0.034597472118486045,0.0,0.0,1.2179547610081434,0.2915567760891923,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260719T144941-a76247fb:A1,20260719T144941-a76247fb,A078,20260719T145242-phase6f-repeat,phase6f,archive,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,authority_limited;flat_no_ff;up,22,4,0.21966814994812012,0.0,0.5199107092911031,0.39910302016517,0.5982647130123147,0.799657105218496,False,0.0,0.0,2.2781825342651225,2.2781825342651225,0.0,0.0,2.1109278289427755,2.055778689013725,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260719T150627-486b0765:A1,20260719T150627-486b0765,A080,20260719T151340-phase6g-terminal-live,phase6g,terminal-live,terminal_era_not_physical_TERM_asserted,terminal-era recording class; per-row ownership not asserted,confirmatory_20,authority_limited;flat_no_ff,72,10,0.7119286855061848,-0.04968389082859745,0.11443020830356652,0.06876399725008904,0.0,0.19042337700024659,False,-0.13718740827076994,0.13718740827076994,0.21698601480497096,0.21698601480497096,0.24726993714168521,0.0,0.3177548481350121,0.0,False,False,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260719T160537-f170ead6:A1,20260719T160537-f170ead6,A084,20260719T164956-phase6h-first-enable,phase6h,first-enable,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,down;flat_no_ff;up,145,10,1.0,0.0,0.20716126343051344,0.16912187351795824,0.1581352296652998,0.48909616626772173,False,0.0,0.0,0.6384334405786515,0.6384334405786515,0.0,0.0,0.7799344360740733,0.6671851318269857,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260719T163649-f170ead6:A1,20260719T163649-f170ead6,A085,20260719T164956-phase6h-first-enable,phase6h,first-enable,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,down;flat_no_ff;up,95,10,1.0,0.0,0.40747357326904954,0.27735947929082794,0.07421396059985944,0.8465104237104029,False,0.0,0.0,-1.2656733259185171,1.2656733259185171,0.0,0.0,2.108935704141807,1.6596080448730604,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260719T200816-f170ead6:A1,20260719T200816-f170ead6,A088,20260719T204430-phase6i-r-rate-ab,phase6i,r-rate-ab,terminal_era_not_physical_TERM_asserted,terminal-era recording class; per-row ownership not asserted,confirmatory_20,authority_limited;down;flat_no_ff;up,121,10,0.7961705525716147,0.0,0.1275651928443262,0.09540945054507283,0.07864968894443419,0.33148240039042465,False,0.0,0.0,0.09084841815417655,0.09084841815417655,0.0,0.0,0.6299791518245708,0.35644438859966787,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260719T201851-50f9dcc8:A1,20260719T201851-50f9dcc8,A091,20260719T204430-phase6i-r-rate-ab,phase6i,r-rate-ab,physical_TERM_episode_A091,registered single physical TERM episode,confirmatory_20,down;flat_no_ff;up,127,10,1.0,0.0,0.2944134352355182,0.23031376877638285,0.20616486497724773,0.7100630515775986,False,-0.08330736128043094,0.08330736128043094,-0.5012106779470025,0.5012106779470025,1.4982213632329908,0.14289723516211683,2.7168573085485037,1.6219782372797136,True,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260720T054016-5cebc2b2:A1,20260720T054016-5cebc2b2,A099,20260720T054037-phase6j-block-a-cohort-2,phase6j,block-a,terminal_era_not_physical_TERM_asserted,terminal-era recording class; per-row ownership not asserted,confirmatory_20,down;flat_no_ff;up,155,10,1.0,0.0,0.17661469681949996,0.14958805944285394,0.15218686318266472,0.35080311263577,False,0.0,0.0,0.5224845210930611,0.5224845210930611,0.0,0.0,0.6550551107274455,0.6148644213999623,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260720T062804-c38fd469:A1,20260720T062804-c38fd469,A100,20260720T063618-phase6k-cohort-2-redo,phase6k,cohort-2,terminal_era_not_physical_TERM_asserted,terminal-era recording class; per-row ownership not asserted,confirmatory_20,down;flat_no_ff;up,120,10,1.0,0.0,0.3499813551401038,0.2767732700248052,0.23744610972623176,0.7544725634889503,False,-0.005734365197268292,0.005734365197268292,-0.4654732659882549,0.4654732659882549,1.0820683866672733,0.12247678090106018,2.432906337334203,1.5857699349313399,True,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
